Country Name,Continent,Country Code,Capital City,Latitudeof Capital,Longitudeof Capital,GDP,Industrialproductiongrowthrate,Electricity-production,Electricity-consumption,Electricity-imports,Electricity-installedgeneratingcapacity,Electricity-fromfossilfuels,Electricity-fromnuclearfuels,Electricity-fromhydroelectricplants,Electricity-fromotherrenewablesources,Crudeoil-production,Crudeoil-exports,Crudeoil-imports,Crudeoil-provedreserves,Refinedpetroleumproducts-production,Refinedpetroleumproducts-consumption,Refinedpetroleumproducts-exports,Refinedpetroleumproducts-imports,Naturalgas-production,Naturalgas-consumption,Naturalgas-exports,Naturalgas-imports,Naturalgas-provedreserves,Carbondioxideemissionsfromconsumptionofenergy,Population,Populationgrowthrate,F33,Emission-perperson,F35,Total Renewable Electricity,F37,F38,Restof World,Canada,China,Greenland,Japan,Russia,South Africa,United States,F47,Total Electricity,F49,F50,Country,Energy,Sourced,Country(or dependency),Population(2020),Yearly Change,Net Change,Density Square Km,Land Area Square Km,Migrants(net),FertRate,Med.Age,UrbanPop,World Share,Normalised Population
Japan,Asia,JP,Tokyo,35 41 N,139 45 E,"42,900",1.4,"989,000,000,000.00","944,000,000,000.00",0,"295,900,000",71,1,8,20,"3,200",0,"3,208,000","44,120,000","3,467,000","3,894,000","370,900","1,100,000","3,058,000,000","127,000,000,000.00","169,900,000","117,000,000,000.00","20,900,000,000.00","1,268,000,000","126,168,156",0,null,10,null,29,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Japan,"126,407,422",-30,"-383,840.00",347,"364,555.00","71,560.00",1.4,48,9200,162,346.74
Ethiopia,Africa,ET,Addis Ababa,9 02 N,38 42 E,"2,200",10.5,"11,150,000,000.00","9,062,000,000.00",0,"2,784,000",3,0,86,11,0,0,0,"428,000",0,"74,000",0,"69,970",0,0,0,0,"24,920,000,000.00","12,180,000","108,386,391",2.83,null,0,null,97,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Ethiopia,"115,434,444",257,"2,884,858.00",115,"1,000,000.00","30,000.00",4.3,19,2100,147,115.43
Philippines,Asia,PH,Manila,14 36 N,120 58 E,"8,400",7.2,"86,590,000,000.00","78,300,000,000.00",0,"22,130,000",67,0,17,16,"13,000","16,450","211,400","138,500,000","215,500","424,000","26,710","211,400","3,058,000,000","3,143,000,000.00",0,0,"98,540,000,000.00","117,200,000","105,893,381",1.55,null,1,null,33,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Philippines,"109,830,324",135,"1,464,463.00",368,"298,170.00","-67,152.00",2.6,26,4700,141,368.35
Egypt,Africa,EG,Cairo,30 03 N,31 15 E,"12,700",3.5,"184,000,000,000.00","160,000,000,000.00","54,000,000","45,120,000",91,0,6,2,"639,000","246,500","64,760","4,400,000,000","547,500","878,000","47,360","280,200","50,860,000,000","57,710,000,000.00","212,400,000","7,079,000,000.00","2,190,000,000,000.00","232,700,000","99,413,317",2.38,null,2,null,8,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,null,Egypt,"102,659,126",194,"1,946,331.00",103,"995,450.00","-38,033.00",3.3,25,4300,131,103.13
Vietnam,Asia,VN,Hanoi,21 02 N,105 51 E,"6,900",8,"158,000,000,000.00","143,000,000,000.00","2,733,000,000","40,770,000",56,0,43,1,"242,000","324,600",0,"4,400,000,000","153,800","438,000","25,620","282,800","8,098,000,000","8,098,000,000.00",0,0,"699,000,000,000.00","235,300,000","97,040,334",1,null,2,null,44,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Vietnam,"97,490,013",91,"876,473.00",314,"310,070.00","-80,000.00",2.1,32,3800,125,314.41
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,DR Congo,"90,003,954",319,"2,770,836.00",40,"2,267,050.00","23,861.00",6,17,4600,115,39.7
Turkey,Asia,TR,Ankara,39 56 N,32 52 E,"27,000",9.1,"262,000,000,000.00","231,000,000,000.00","6,330,000,000","78,500,000",53,0,33,14,"55,000",0,"521,500","341,600,000.00","657,900","989,900","141,600","560,000","368,100,000.00","53,600,000,000.00","622,900,000.00","55,130,000,000.00","5,097,000,000.00","379,500,000","81,257,239",0.49,null,4.6704,null,47,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Turkey,"84,495,243.00",109,"909,452.00",110,"769,630.00","283,922.00",2.1,32,7600,108,109.79
Iran,Asia,IR,Tehran,35 42 N,51 25 E,"20,100",3,"272,000,000,000.00","236,000,000,000.00","4,221,000,000","77,600,000",84,1,15,0,"4,251,000","750,200",0,"157,000,000,000","1,764,000","1,804,000","397,200","64,160","215,000,000,000","207,000,000,000.00","11,640,000,000","3,993,000,000.00","33,700,000,000,000.00","638,300,000","83,024,745",1,null,8,null,16,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Iran,"84,176,929",130,"1,079,043.00",52,"1,628,550.00","-55,000.00",2.2,32,7600,108,51.69
Germany,Europe,DE,Berlin,52 31 N,13 24 E,"50,800",3.3,"613,000,000,000.00","537,000,000,000.00","28,340,000,000","208,500,000",41,5,2,52,"41,000","6,569","1,836,000","129,600,000","2,158,000","2,460,000","494,000","883,800","7,900,000,000","93,360,000,000.00","34,610,000,000","120,000,000,000.00","39,500,000,000.00","847,600,000","80,457,737",0,null,11,null,59,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Germany,"83,830,972",32,"266,897.00",240,"348,560.00","543,822.00",1.6,46,7600,107,240.51
Thailand,Asia,TH,Bangkok,13 45 N,100 31 E,"17,900",1.6,"182,000,000,000.00","188,000,000,000.00","19,830,000,000","44,890,000",76,0,8,16,"228,000",790,"875,400","349,400,000","1,328,000","1,326,000","278,300","134,200","38,590,000,000","52,640,000,000.00",0,"14,410,000,000.00","193,000,000,000.00","355,000,000","68,615,858",0,null,5,null,24,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Thailand,"69,830,779",25,"174,396.00",137,"510,890.00","19,444.00",1.5,40,5100,90,136.68
