Country Name,Continent,Population,Populationgrowthrate,Country(or dependency),Population(2020),Yearly Change,Net Change,Density Square Km,Land Area Square Km,Migrants(net),FertRate,MedAge,UrbanPop,World Share,Normalised Population
Thailand,Asia,"68,615,858",0,Thailand,"69,830,779",25,"174,396.00",137,"510,890.00","19,444.00",1.5,40.00,5100,90,136.68
United Kingdom,Europe,"65,105,246",1,United Kingdom,"67,948,282",53,"355,839.00",281,"241,930.00","260,650.00",1.8,40.00,8300,87,280.86
France,Europe,"67,364,357",0,France,"65,298,930",22,"143,783.00",119,"547,557.00","36,527.00",1.9,42.00,8200,84,119.26
Italy,Europe,"62,246,674",0,Italy,"60,446,035",-15,"-88,249.00",206,"294,140.00","148,943.00",1.3,47.00,6900,78,205.5
Tanzania,Africa,"55,451,343",3,Tanzania,"60,012,400",298,"1,728,755.00",67,"885,800.00","-40,076.00",4.9,18.00,3700,77,67.75
South Africa,Africa,"55,380,210",1,South Africa,"59,436,725",128,"750,420.00",49,"1,213,090.00","145,405.00",2.4,28.00,6700,76,49
null,null,null,null,Myanmar,"54,473,253",67,"364,380.00",83,"653,290.00","-163,313.00",2.2,29.00,3100,70,83.38
Kenya,Africa,"48,397,527",1.57,Kenya,"53,968,739.00",228,"1,197,323.00",94,"569,140.00","-10,000.00",3.5,20.00,2800,69,94.83
null,null,null,null,South Korea,"51,276,977",9,"43,877.00",527,"97,230.00","11,731.00",1.1,44.00,8200,66,527.38
Colombia,South America,"48,168,996",0.97,Colombia,"50,976,248.00",108,"543,448.00",46,"1,109,500.00","204,796.00",1.8,31.00,8000,65,45.95
Spain,Europe,"49,331,076",1,Spain,"46,757,980",4,"18,002.00",94,"498,800.00","40,000.00",1.3,45.00,8000,60,93.74
Uganda,Africa,"40,853,749",3,Uganda,"45,974,931",332,"1,471,413.00",229,"199,810.00","168,694.00",5,17.00,2600,59,230.09
Argentina,South America,"44,694,198",1,Argentina,"45,267,449",93,"415,097.00",17,"2,736,690.00","4,800.00",2.3,32.00,9300,58,16.54
Algeria,Africa,"41,657,488",2,Algeria,"43,984,569",185,"797,990.00",18,"2,381,740.00","-10,000.00",3.1,29.00,7300,56,18.47
Sudan,Africa,"43,120,843",3,Sudan,"44,019,263",242,"1,036,022.00",25,"1,765,048.00","-50,000.00",4.4,20.00,3500,56,24.94
Ukraine,Europe,"43,952,299",0.04,Ukraine,"43,686,577",-59,"-259,876.00",75,"579,320.00","10,000.00",1.4,41.00,6900,56,75.41
Iraq,Asia,"40,194,216",3,Iraq,"40,372,771",232,"912,710.00",93,"434,320.00","7,834.00",3.7,21.00,7300,52,92.96
Afghanistan,Asia,"34,940,837",2,Afghanistan,"39,074,280",233,"886,592.00",60,"652,860.00","-62,920.00",4.6,18.00,2500,50,59.85
Poland,Europe,"38,420,687",0,Poland,"37,839,255",-11,"-41,157",124,"306,230.00","-29,395",1.4,42.00,"6,000",49,123.56
Canada,North America,"35,881,659",1,Canada,"37,799,407",89,"331,107.00",4,"9,093,510.00","242,032.00",1.5,41.00,8100,48,4.16
Morocco,Africa,"34,314,130",1,Morocco,"36,985,624",120,"438,791.00",83,"446,300.00","-51,419.00",2.4,30.00,6400,47,82.87
Saudi Arabia,Asia,"33,091,113",2,Saudi Arabia,"34,905,942",159,"545,343.00",16,"2,149,690.00","134,979.00",2.3,32.00,8400,45,16.24
Uzbekistan,Asia,"30,023,709",0.91,Uzbekistan,"33,551,824",148,"487,487.00",79,"425,400.00","-8,863.00",2.4,28.00,5000,43,78.87
Peru,South America,"31,331,228",1,Peru,"33,050,211.00",142,"461,401.00",26,"1,280,000.00","99,069.00",2.3,31.00,7900,42,25.82
Angola,Africa,"30,355,880",3,Angola,"33,032,075",327,"1,040,977.00",26,"1,246,700.00","6,413.00",5.6,17.00,6700,42,26.5
